Year,Month,Day,Movement,UOM,Family,Material,Business_Unit,Client,Region,Representative,Item,Sales_Quantity,Gross_Revenue,Net_Revenue,COGS,EBIT,Inventory,Price
2010,1,1,Sales,kg,Family 14,Material 44,,Client 0382,SC,Representative 58,Item 0026,220,1516.67,997.84,608.01,389.83,,
2010,1,1,Sales,kg,Family 14,Material 44,BU Bravo,Client 0679,SC,Representative 07,Item 0026,1760,10866.24,7632.22,4864.11,2768.11,9728.22,6.17
2010,1,1,Sales,kg,Family 14,Material 44,BU Bravo,Client 1184,PR,Representative 58,Item 0028,40,285.60,198.29,138.55,59.74,277.10,7.14
2010,1,1,Sales,kg,Family 14,Material 44,BU Bravo,Client 0114,SC,Representative 58,Item 0028,40,302.40,212.40,138.55,73.85,277.10,7.56
2010,1,1,Sales,kg,Family 14,Material 44,BU Bravo,Client 1405,PR,Representative 50,Item 0028,20,157.50,109.35,69.28,40.07,138.56,7.88
2010,1,1,Sales,kg,Family 14,Material 44,BU Charlie,Client 0492,AL,Representative 18,Item 0026,6600,35758.80,28521.90,17521.02,11000.88,35042.04,5.42
2010,1,1,Sales,kg,Family 14,Material 44,BU Charlie,Client 0793,CE,Representative 11,Item 0026,440,2517.90,2008.31,1168.07,840.24,2336.14,5.72
2010,1,1,Sales,kg,Family 14,Material 44,BU Charlie,Client 1247,PE,Representative 18,Item 0026,1100,5890.50,4698.38,2920.17,1778.21,5840.34,5.36
2010,1,1,Sales,kg,Family 14,Material 44,BU Charlie,Client 0432,CE,Representative 39,Item 0026,2200,9655.80,7701.65,5840.34,1861.31,11680.68,4.39
2010,1,1,Sales,kg,Family 14,Material 44,BU Charlie,Client 1272,SP,Representative 36,Item 0026,1100,7392.00,5121.60,2920.17,2201.43,5840.34,6.72
2010,1,1,Sales,kg,Family 14,Material 44,BU Charlie,Client 0045,MG,Representative 11,Item 0026,3300,16285.50,12214.12,8760.51,3453.61,17521.02,4.94
2010,1,1,Sales,kg,Family 14,Material 44,BU Charlie,Client 1074,GO,Representative 24,Item 0026,5500,28187.88,18885.62,14600.85,4284.77,29201.70,5.13
2010,1,1,Sales,kg,Family 14,Material 44,BU Charlie,Client 1287,RJ,Representative 35,Item 0026,220,1600.40,1030.85,584.03,446.82,1168.06,7.27
2010,1,1,Sales,kg,Family 14,Material 44,BU Charlie,Client 0032,CE,Representative 39,Item 0026,5500,28875.00,23031.25,14600.85,8430.40,29201.70,5.25
2010,1,1,Sales,kg,Family 14,Material 44,BU Charlie,Client 0970,SP,Representative 10,Item 0026,220,1386.00,960.30,584.03,376.27,1168.06,6.30
2010,1,11,Sales,kg,Family 14,Material 44,BU Bravo,Client 1155,SC,Representative 58,Item 0026,1100,8038.80,5646.31,3040.07,2606.24,6080.14,7.31
2010,1,11,Sales,kg,Family 14,Material 44,BU Charlie,Client 1517,AL,Representative 18,Item 0026,2200,13421.10,10704.92,5840.34,4864.58,11680.68,6.10
2010,1,11,Sales,kg,Family 14,Material 44,BU Charlie,Client 0044,SP,Representative 11,Item 0026,3080,16428.72,11382.76,8176.48,3206.28,16352.96,5.33
2010,1,11,Sales,kg,Family 14,Material 44,BU Charlie,Client 0798,SP,Representative 10,Item 0026,440,2956.80,2048.63,1168.07,880.56,2336.14,6.72
2010,1,11,Sales,kg,Family 14,Material 44,BU Charlie,Client 1274,MG,Representative 29,Item 0026,1760,9609.60,7207.20,4672.27,2534.93,9344.54,5.46
2010,1,18,Sales,kg,Family 14,Material 44,BU Bravo,Client 0679,SC,Representative 07,Item 0026,2640,16299.36,11448.37,7296.17,4152.20,14592.34,6.17
2010,1,18,Sales,kg,Family 14,Material 44,BU Charlie,Client 1210,SP,Representative 11,Item 0026,3089,18246.85,11816.85,8200.37,3616.48,16400.74,5.91
2010,1,18,Sales,kg,Family 14,Material 44,BU Charlie,Client 0222,RJ,Representative 11,Item 0026,2200,12705.00,9528.75,5840.34,3688.41,11680.68,5.78
2010,1,18,Sales,kg,Family 14,Material 44,BU Charlie,Client 0119,PB,Representative 18,Item 0026,18920,104061.39,69720.19,50226.92,19493.27,100453.84,5.50
2010,1,18,Sales,kg,Family 14,Material 44,BU Charlie,Client 1514,RJ,Representative 11,Item 0026,3300,18720.53,12058.18,8760.51,3297.67,17521.02,5.67
2010,1,18,Sales,kg,Family 14,Material 44,BU Charlie,Client 0032,CE,Representative 39,Item 0026,4400,23100.00,18425.00,11680.68,6744.32,23361.36,5.25
2010,1,25,Sales,kg,Family 14,Material 44,BU Bravo,Client 1155,SC,Representative 58,Item 0026,1540,11254.32,7904.82,4256.10,3648.72,8512.20,7.31
2010,1,25,Sales,kg,Family 14,Material 44,BU Bravo,Client 0481,SC,Representative 58,Item 0028,20,151.20,104.98,69.28,35.70,138.56,7.56
2010,1,25,Sales,kg,Family 14,Material 44,BU Bravo,Client 0114,SC,Representative 58,Item 0028,60,453.60,318.60,207.83,110.77,415.66,7.56
2010,1,25,Sales,kg,Family 14,Material 44,BU Bravo,Client 1368,PR,Representative 50,Item 0028,40,291.90,202.65,138.55,64.10,277.10,7.30
2010,1,25,Sales,kg,Family 14,Material 44,BU Charlie,Client 1210,SP,Representative 11,Item 0026,1320,7797.29,5041.57,3504.20,1537.37,7008.40,5.91
2010,1,25,Sales,kg,Family 14,Material 44,BU Charlie,Client 0070,PE,Representative 18,Item 0026,220,1335.18,1064.97,584.03,480.94,1168.06,6.07
2010,1,25,Sales,kg,Family 14,Material 44,BU Charlie,Client 1517,AL,Representative 18,Item 0026,2200,13421.10,10704.92,5840.34,4864.58,11680.68,6.10
2010,1,25,Sales,kg,Family 14,Material 44,BU Charlie,Client 0492,AL,Representative 18,Item 0026,6600,35758.80,28521.90,17521.02,11000.88,35042.04,5.42
2010,1,25,Sales,kg,Family 14,Material 44,BU Charlie,Client 0044,SP,Representative 11,Item 0026,8800,46939.20,32522.14,23361.36,9160.78,46722.72,5.33
2010,1,25,Sales,kg,Family 14,Material 44,BU Charlie,Client 0118,SP,Representative 11,Item 0026,440,2618.90,1693.33,1168.07,525.26,2336.14,5.95
2010,1,25,Sales,kg,Family 14,Material 44,BU Charlie,Client 0119,PB,Representative 18,Item 0026,5280,29040.39,19456.80,14016.82,5439.98,28033.64,5.50
2010,1,25,Sales,kg,Family 14,Material 44,BU Charlie,Client 0432,CE,Representative 39,Item 0026,1540,6759.06,5391.16,4088.24,1302.92,8176.48,4.39
2010,1,25,Sales,kg,Family 14,Material 44,BU Charlie,Client 0783,MT,Representative 24,Item 0026,1100,5428.50,4329.87,2920.17,1409.70,5840.34,4.94
2010,1,25,Sales,kg,Family 14,Material 44,BU Charlie,Client 1274,MG,Representative 29,Item 0026,1320,7207.20,5405.40,3504.20,1901.20,7008.40,5.46
2010,1,25,Sales,kg,Family 14,Material 44,BU Charlie,Client 1287,RJ,Representative 35,Item 0026,220,1600.39,1030.84,584.03,446.81,1168.06,7.27
2010,1,25,Sales,kg,Family 14,Material 44,BU Charlie,Client 1070,SP,Representative 11,Item 0026,4840,27951.00,19366.03,12848.75,6517.28,25697.50,5.78
2010,2,8,Sales,kg,Family 14,Material 44,BU Bravo,Client 0718,SC,Representative 58,Item 0026,220,1381.38,970.25,626.80,343.45,1253.60,6.28
2010,2,8,Sales,kg,Family 14,Material 44,BU Charlie,Client 0222,RJ,Representative 11,Item 0026,1980,11081.07,8310.80,5555.88,2754.92,11111.76,5.60
2010,2,8,Sales,kg,Family 14,Material 44,BU Charlie,Client 0970,SP,Representative 10,Item 0026,440,2772.00,1920.60,1234.64,685.96,2469.28,6.30
2010,2,15,Sales,kg,Family 14,Material 44,BU Bravo,Client 0054,PR,Representative 50,Item 0026,880,5008.08,3756.08,2507.20,1248.88,5014.40,5.69
2010,2,15,Sales,kg,Family 14,Material 44,BU Bravo,Client 0679,SC,Representative 07,Item 0026,2200,13582.80,9540.30,6268.02,3272.28,12536.04,6.17
2010,2,15,Sales,kg,Family 14,Material 44,BU Bravo,Client 1086,SC,Representative 58,Item 0028,20,123.90,87.02,69.76,17.26,139.52,6.20
2010,2,15,Sales,kg,Family 14,Material 44,BU Bravo,Client 0114,SC,Representative 58,Item 0028,60,453.60,318.60,209.27,109.33,418.54,7.56
2010,2,15,Sales,kg,Family 14,Material 44,BU Charlie,Client 1517,AL,Representative 18,Item 0026,2200,13421.10,10704.92,6173.20,4531.72,12346.40,6.10
2010,2,15,Sales,kg,Family 14,Material 44,BU Charlie,Client 0044,SP,Representative 11,Item 0026,5060,28105.77,19473.29,14198.36,5274.93,28396.72,5.55
2010,2,15,Sales,kg,Family 14,Material 44,BU Charlie,Client 1347,RN,Representative 18,Item 0026,220,1480.71,1181.04,617.32,563.72,1234.64,6.73
2010,2,15,Sales,kg,Family 14,Material 44,BU Charlie,Client 0432,CE,Representative 39,Item 0026,1320,6306.30,5030.01,3703.92,1326.09,7407.84,4.78
2010,2,15,Sales,kg,Family 14,Material 44,BU Charlie,Client 0783,MT,Representative 24,Item 0026,1100,5428.50,4329.86,3086.60,1243.26,6173.20,4.94
2010,2,15,Sales,kg,Family 14,Material 44,BU Charlie,Client 1287,RJ,Representative 35,Item 0026,220,1600.38,1030.83,617.32,413.51,1234.64,7.27
2010,2,22,Sales,kg,Family 14,Material 44,BU Bravo,Client 0679,SC,Representative 07,Item 0026,1760,10866.24,7632.22,5014.42,2617.80,10028.84,6.17
2010,2,22,Sales,kg,Family 14,Material 44,BU Charlie,Client 0432,CE,Representative 39,Item 0026,220,1051.05,838.34,617.32,221.02,1234.64,4.78
2010,3,1,Sales,kg,Family 14,Material 44,BU Bravo,Client 0054,PR,Representative 50,Item 0026,660,4306.32,2817.05,1880.41,936.64,3760.82,6.52
2010,3,1,Sales,kg,Family 14,Material 44,BU Bravo,Client 1155,SC,Representative 58,Item 0026,880,6431.04,4517.04,2507.21,2009.83,5014.42,7.31
2010,3,1,Sales,kg,Family 14,Material 44,BU Bravo,Client 0679,SC,Representative 07,Item 0026,5060,31240.44,21942.71,14416.46,7526.25,28832.92,6.17
2010,3,1,Sales,kg,Family 14,Material 44,BU Bravo,Client 0728,SC,Representative 07,Item 0026,2200,13398.00,9410.50,6268.02,3142.48,12536.04,6.09
2010,3,1,Sales,kg,Family 14,Material 44,BU Bravo,Client 0105,SC,Representative 58,Item 0028,41,250.10,226.96,143.00,83.96,286.00,6.10
2010,3,1,Sales,kg,Family 14,Material 44,BU Bravo,Client 0764,SC,Representative 58,Item 0028,40,247.80,174.05,139.51,34.54,279.02,6.20
2010,3,1,Sales,kg,Family 14,Material 44,BU Bravo,Client 0114,SC,Representative 58,Item 0028,80,604.80,424.80,279.02,145.78,558.04,7.56
2010,3,1,Sales,kg,Family 14,Material 44,BU Charlie,Client 1210,SP,Representative 11,Item 0026,1100,6497.74,4201.31,3086.60,1114.71,6173.20,5.91
