Year,Month,Day,Movement,UOM,Family,Material,Client,Region,Representative,Item,Sales_Quantity,Gross_Revenue,Net_Revenue,COGS,EBIT,Inventory,Price,Business_Unit
2010.0,1.0,1.0,0,0,0,0,69,19,1,0,1760.0,10866.24,7632.22,4864.11,2768.11,9728.22,6.17,1
2010.0,1.0,1.0,0,0,0,0,124,14,23,2,40.0,285.6,198.29,138.55,59.74,277.1,7.14,1
2010.0,1.0,1.0,0,0,0,0,11,19,23,2,40.0,302.4,212.4,138.55,73.85,277.1,7.56,1
2010.0,1.0,1.0,0,0,0,0,158,14,21,2,20.0,157.5,109.35,69.28,40.07,138.56,7.88,1
2010.0,1.0,1.0,0,0,0,0,46,0,6,0,6600.0,35758.8,28521.9,17521.02,11000.88,35042.04,5.42,2
2010.0,1.0,1.0,0,0,0,0,90,2,3,0,440.0,2517.9,2008.31,1168.07,840.24,2336.14,5.72,2
2010.0,1.0,1.0,0,0,0,0,136,12,6,0,1100.0,5890.5,4698.38,2920.17,1778.21,5840.34,5.36,2
2010.0,1.0,1.0,0,0,0,0,34,2,17,0,2200.0,9655.8,7701.65,5840.34,1861.31,11680.68,4.39,2
2010.0,1.0,1.0,0,0,0,0,141,20,15,0,1100.0,7392.0,5121.6,2920.17,2201.43,5840.34,6.72,2
2010.0,1.0,1.0,0,0,0,0,4,7,3,0,3300.0,16285.5,12214.12,8760.51,3453.61,17521.02,4.94,2
2010.0,1.0,1.0,0,0,0,0,112,6,8,0,5500.0,28187.88,18885.62,14600.85,4284.77,29201.7,5.13,2
2010.0,1.0,1.0,0,0,0,0,144,15,14,0,220.0,1600.4,1030.85,584.03,446.82,1168.06,7.27,2
2010.0,1.0,1.0,0,0,0,0,2,2,17,0,5500.0,28875.0,23031.25,14600.85,8430.4,29201.7,5.25,2
2010.0,1.0,1.0,0,0,0,0,106,20,2,0,220.0,1386.0,960.3,584.03,376.27,1168.06,6.3,2
2010.0,1.0,11.0,0,0,0,0,120,19,23,0,1100.0,8038.8,5646.31,3040.07,2606.24,6080.14,7.31,1
2010.0,1.0,11.0,0,0,0,0,167,0,6,0,2200.0,13421.1,10704.92,5840.34,4864.58,11680.68,6.1,2
2010.0,1.0,11.0,0,0,0,0,3,20,3,0,3080.0,16428.72,11382.76,8176.48,3206.28,16352.96,5.33,2
2010.0,1.0,11.0,0,0,0,0,91,20,2,0,440.0,2956.8,2048.63,1168.07,880.56,2336.14,6.72,2
2010.0,1.0,11.0,0,0,0,0,142,7,12,0,1760.0,9609.6,7207.2,4672.27,2534.93,9344.54,5.46,2
2010.0,1.0,18.0,0,0,0,0,69,19,1,0,2640.0,16299.36,11448.37,7296.17,4152.2,14592.34,6.17,1
2010.0,1.0,18.0,0,0,0,0,127,20,3,0,3089.0,18246.85,11816.85,8200.37,3616.48,16400.74,5.91,2
2010.0,1.0,18.0,0,0,0,0,22,15,3,0,2200.0,12705.0,9528.75,5840.34,3688.41,11680.68,5.78,2
2010.0,1.0,18.0,0,0,0,0,13,11,6,0,18920.0,104061.39,69720.19,50226.92,19493.27,100453.84,5.5,2
2010.0,1.0,18.0,0,0,0,0,166,15,3,0,3300.0,18720.53,12058.18,8760.51,3297.67,17521.02,5.67,2
2010.0,1.0,18.0,0,0,0,0,2,2,17,0,4400.0,23100.0,18425.0,11680.68,6744.32,23361.36,5.25,2
